Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Iceland,CAIT,Total excluding LUCF,All GHG,MtCO₂e,3.44,3.42,3.3,3.33,3.29,3.22,3.06,3.07,3.26,3.39,3.73,3.84,3.83,3.36,3.4,3.32,3.35,3.3,3.42,3.38,3.4,3.26,3.28,3.02,3.08,3.0,3.04,3.24,3.36
India,CAIT,Total excluding LUCF,All GHG,MtCO₂e,3374.99,3229.92,3103.11,3063.65,3048.79,2875.98,2814.0,2671.2,2564.13,2452.66,2309.34,2209.24,2065.57,1969.68,1894.78,1808.91,1763.94,1741.32,1717.56,1678.28,1601.88,1567.73,1509.06,1457.39,1391.78,1345.44,1313.71,1281.48,1226.44
Indonesia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,969.58,912.42,866.36,852.0,845.07,796.88,827.22,822.48,762.4,744.03,725.82,731.41,718.59,703.25,708.91,703.48,682.15,681.31,667.88,663.05,647.21,641.02,622.66,608.29,577.26,560.64,544.38,523.8,506.47
Iran,CAIT,Total excluding LUCF,All GHG,MtCO₂e,828.28,814.73,795.97,786.5,794.19,781.95,761.05,750.7,743.55,737.58,713.33,699.78,661.39,613.27,574.43,537.5,508.2,483.52,466.76,447.91,410.08,401.98,384.5,370.29,353.08,320.54,322.25,301.28,260.94
Iraq,CAIT,Total excluding LUCF,All GHG,MtCO₂e,215.69,200.79,197.3,185.77,193.68,186.9,175.6,153.59,141.41,128.3,105.02,95.53,101.37,105.14,90.98,86.97,97.86,102.14,90.63,80.28,96.88,130.43,111.88,110.13,114.16,103.13,80.13,58.43,78.78
Ireland,CAIT,Total excluding LUCF,All GHG,MtCO₂e,65.09,65.25,65.88,63.35,61.54,61.38,62.31,60.65,65.04,66.4,71.77,72.82,74.45,73.47,72.26,73.03,72.74,73.48,71.23,68.26,66.71,63.31,61.8,60.32,59.48,58.0,57.35,57.14,56.57
Israel,CAIT,Total excluding LUCF,All GHG,MtCO₂e,87.83,91.06,89.42,89.51,87.15,88.55,96.71,89.59,89.32,83.87,84.29,83.61,80.42,76.1,77.44,76.35,75.52,73.51,73.61,68.74,66.55,65.18,62.16,59.06,55.23,51.9,47.84,45.06,43.98
Italy,CAIT,Total excluding LUCF,All GHG,MtCO₂e,399.6,405.77,411.45,416.15,405.24,424.93,456.71,474.59,485.46,476.97,525.85,540.72,547.47,559.87,558.59,547.47,528.94,520.66,522.47,517.56,510.33,499.04,495.26,499.02,474.03,479.32,485.62,488.85,491.25
Jamaica,CAIT,Total excluding LUCF,All GHG,MtCO₂e,10.02,8.69,9.23,8.78,8.89,9.05,8.57,9.01,8.86,9.26,11.0,13.4,13.48,12.28,12.32,12.41,11.98,11.81,11.78,11.67,11.39,10.84,10.7,10.36,10.05,10.01,9.82,9.02,9.03
Japan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,1186.77,1235.37,1257.73,1265.07,1300.99,1338.63,1327.04,1284.77,1228.24,1171.57,1231.18,1297.98,1261.9,1283.82,1282.76,1290.88,1283.11,1251.44,1274.3,1258.05,1232.41,1279.53,1291.66,1277.53,1262.49,1205.29,1212.81,1199.52,1185.03
Jordan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,35.81,36.74,35.07,34.97,34.68,32.42,32.12,28.55,27.43,27.57,26.89,27.63,26.18,25.44,23.93,22.43,21.84,21.03,20.9,20.34,21.28,22.07,22.57,23.34,23.71,22.63,21.89,19.14,18.67
Kazakhstan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,274.22,283.58,274.52,259.34,258.09,307.44,294.14,294.13,277.3,251.22,282.13,235.72,227.66,206.3,193.87,176.83,165.64,148.59,148.04,148.83,164.91,165.45,193.46,221.6,253.28,278.25,319.88,319.04,309.01
Kenya,CAIT,Total excluding LUCF,All GHG,MtCO₂e,78.83,76.75,79.55,73.99,71.37,68.44,66.43,67.08,64.7,63.08,62.66,61.33,44.53,44.06,43.69,41.07,40.1,39.2,39.68,40.73,38.56,37.11,37.19,37.65,37.31,37.05,37.25,37.25,38.49
